Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60237522,05/21/2025 07:00,05/21/2025 18:30,GBPJPY,Sell,0.030,0.00000,0.00000,193.09200,193.15800,-0.1500,0.0000,-6.6,-1.53,-0.05,"",11,00:11:29:34,,,,,,,,,,,,
,60238337,05/21/2025 08:45,05/21/2025 17:51,NZDJPY,Sell,0.030,0.00000,0.00000,85.42400,85.60400,-0.0600,0.0000,-18.0,-3.82,-0.13,"",11,00:09:05:55,,,,,,,,,,,,
,60237621,05/21/2025 07:18,05/21/2025 17:00,EURNZD,Buy,0.030,1.89827,0.00000,1.90647,1.90647,-0.1200,0.0000,0.0,-0.12,0.00,"",11,00:09:41:48,,,,,,,,,,,,
,60237823,05/21/2025 07:47,05/21/2025 16:15,EURCAD,Buy,0.030,1.56609,0.00000,1.57435,1.57067,-0.1200,0.0000,-36.8,-8.08,-0.27,"",11,00:08:27:46,,,,,,,,,,,,
,60242186,05/21/2025 11:30,05/21/2025 14:45,GBPNZD,Buy,0.030,2.25318,0.00000,2.26134,2.25598,-0.1400,0.0000,-53.6,-9.69,-0.32,"",11,00:03:15:00,,,,,,,,,,,,
,60237784,05/21/2025 07:43,05/21/2025 13:00,USDJPY,Sell,0.030,0.00000,0.00000,143.74100,143.99700,-0.1100,0.0000,-25.6,-5.44,-0.18,"",11,00:05:16:43,,,,,,,,,,,,
,60237589,05/21/2025 07:09,05/21/2025 12:30,CADJPY,Sell,0.030,0.00000,0.00000,103.52000,103.77700,-0.0800,0.0000,-25.7,-5.43,-0.18,"",11,00:05:20:57,,,,,,,,,,,,
,60237818,05/21/2025 07:47,05/21/2025 12:30,GBPUSD,Buy,0.030,1.33555,0.00000,1.34357,1.33957,-0.1500,0.0000,-40.0,-12.15,-0.40,"",11,00:04:43:02,,,,,,,,,,,,
,60237725,05/21/2025 07:36,05/21/2025 12:00,GBPCAD,Buy,0.030,1.85766,0.00000,1.86597,1.86144,-0.1500,0.0000,-45.3,-9.93,-0.32,"",11,00:04:23:25,,,,,,,,,,,,
,60237532,05/21/2025 07:01,05/21/2025 11:30,NZDCAD,Buy,0.030,0.81812,0.00000,0.82645,0.82342,-0.0600,0.0000,-30.3,-6.60,-0.21,"",11,00:04:28:39,,,,,,,,,,,,
,60239688,05/21/2025 09:36,05/21/2025 09:41,EURHKD,Buy,0.030,8.87887,0.00000,8.88531,8.87887,-0.1200,0.0000,-64.4,-2.59,-0.08,"[sl]",11,00:00:05:30,,,,,,,,,,,,
,60228519,05/20/2025 17:10,05/21/2025 02:10,EURNZD,Buy,0.030,1.89805,0.00000,1.90654,1.90359,-0.1200,-0.2600,-29.5,-5.62,-0.18,"",11,00:08:59:51,,,,,,,,,,,,
,60228221,05/20/2025 17:02,05/21/2025 00:46,GBPAUD,Buy,0.030,2.07961,0.00000,2.08776,2.08405,-0.1400,-0.1300,-37.1,-7.41,-0.24,"",11,00:07:43:45,,,,,,,,,,,,
,60228762,05/20/2025 17:19,05/21/2025 00:30,GBPNZD,Buy,0.030,2.25530,0.00000,2.26352,2.25832,-0.1400,-0.1200,-52.0,-9.50,-0.31,"",11,00:07:11:08,,,,,,,,,,,,
,60220337,05/20/2025 07:01,05/21/2025 00:20,USDHKD,Buy,0.030,7.81627,0.00000,7.82454,7.82461,-0.1100,-0.0900,0.7,-0.17,-0.01,"",11,00:17:19:12,,,,,,,,,,,,
,60222019,05/20/2025 08:31,05/20/2025 20:45,AUDJPY,Sell,0.030,0.00000,0.00000,93.00400,92.89300,-0.0700,0.0000,11.1,2.23,0.07,"",11,00:12:13:09,,,,,,,,,,,,
,60223201,05/20/2025 10:03,05/20/2025 20:15,NZDJPY,Sell,0.030,0.00000,0.00000,85.49900,85.73200,-0.0600,0.0000,-23.3,-4.89,-0.16,"",11,00:10:11:02,,,,,,,,,,,,
