Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60278917,05/23/2025 07:10,05/23/2025 13:00,GBPUSD,Buy,0.470,1.33682,0.00000,1.34483,1.34979,-2.2800,0.0000,49.6,230.84,0.50,"",11,00:05:49:58,,,,,,,,,,,,
,60280471,05/23/2025 10:12,05/23/2025 13:00,USDJPY,Sell,0.470,144.18900,0.00000,143.38900,143.30500,-1.6900,0.0000,8.4,25.86,0.06,"",11,00:02:47:21,,,,,,,,,,,,
,60281730,05/23/2025 12:00,05/23/2025 13:00,EURUSD,Buy,0.470,1.12623,0.00000,1.13423,1.13493,-1.9200,0.0000,7.0,30.98,0.07,"",11,00:00:59:42,,,,,,,,,,,,
,60281213,05/23/2025 11:02,05/23/2025 13:00,EURHKD,Buy,0.470,8.87863,0.00000,8.87795,8.88765,-1.9200,0.0000,97.0,56.30,0.12,"",11,00:01:57:52,,,,,,,,,,,,
,60270810,05/22/2025 17:55,05/22/2025 21:00,CHFJPY,Sell,0.470,174.23800,0.00000,173.44200,173.81900,-2.0400,0.0000,-37.7,-124.89,-0.27,"",11,00:03:05:03,,,,,,,,,,,,
,60266466,05/22/2025 17:00,05/22/2025 21:00,AUDCAD,Sell,0.470,0.89547,0.00000,0.89040,0.88891,-1.0900,0.0000,14.9,49.43,0.11,"",11,00:03:59:57,,,,,,,,,,,,
,60266562,05/22/2025 17:01,05/22/2025 21:00,GBPNZD,Buy,0.470,2.26596,0.00000,2.27444,2.27297,-2.2700,0.0000,-14.7,-43.05,-0.09,"",11,00:03:58:56,,,,,,,,,,,,
,60258847,05/22/2025 09:05,05/22/2025 13:00,CHFJPY,Sell,0.460,174.41800,0.00000,173.61900,173.61100,-2.0100,0.0000,0.8,0.55,0.00,"",11,00:03:54:19,,,,,,,,,,,,
,60258150,05/22/2025 07:01,05/22/2025 13:00,NZDCHF,Sell,0.460,0.49181,0.00000,0.48868,0.48801,-0.9800,0.0000,6.7,36.31,0.08,"",11,00:05:59:02,,,,,,,,,,,,
,60258133,05/22/2025 07:00,05/22/2025 13:00,EURJPY,Sell,0.460,163.20400,0.00000,162.40500,162.05800,-1.8800,0.0000,34.7,109.36,0.24,"",11,00:05:59:58,,,,,,,,,,,,
,60258129,05/22/2025 07:00,05/22/2025 13:00,USDJPY,Sell,0.460,144.11500,0.00000,143.31600,143.48900,-1.6600,0.0000,-17.3,-57.12,-0.12,"",11,00:05:59:59,,,,,,,,,,,,
,60258127,05/22/2025 07:00,05/22/2025 13:00,CADJPY,Sell,0.460,104.17000,0.00000,103.47100,103.39900,-1.2000,0.0000,7.2,21.88,0.05,"",11,00:05:59:59,,,,,,,,,,,,
,60258158,05/22/2025 07:01,05/22/2025 13:00,AUDJPY,Sell,0.460,92.93900,0.00000,92.30500,92.16300,-1.0700,0.0000,14.2,44.45,0.10,"",11,00:05:58:03,,,,,,,,,,,,
,60258160,05/22/2025 07:02,05/22/2025 13:00,GBPNZD,Buy,0.460,2.25730,0.00000,2.26571,2.26991,-2.2200,0.0000,42.0,111.85,0.25,"",11,00:05:57:58,,,,,,,,,,,,
,60258128,05/22/2025 07:00,05/22/2025 13:00,GBPJPY,Sell,0.460,193.18900,0.00000,192.38800,192.31500,-2.2200,0.0000,7.3,21.18,0.05,"",11,00:05:59:56,,,,,,,,,,,,
,60250416,05/21/2025 18:15,05/21/2025 21:00,GBPUSD,Buy,0.460,1.33690,0.00000,1.34491,1.34385,-2.2300,0.0000,-10.6,-50.99,-0.11,"",11,00:02:44:58,,,,,,,,,,,,
,60237508,05/21/2025 07:00,05/21/2025 13:00,CADCHF,Sell,0.470,0.59606,0.00000,0.59228,0.59372,-1.2200,0.0000,-14.4,-83.31,-0.18,"",11,00:05:59:52,,,,,,,,,,,,
,60237505,05/21/2025 07:00,05/21/2025 13:00,CADJPY,Sell,0.470,104.13100,0.00000,103.52800,103.69100,-1.2200,0.0000,-16.3,-54.42,-0.12,"",11,00:05:59:55,,,,,,,,,,,,
,60237528,05/21/2025 07:01,05/21/2025 13:00,EURCAD,Buy,0.470,1.56611,0.00000,1.57427,1.57399,-1.9200,0.0000,-2.8,-11.39,-0.02,"",11,00:05:59:05,,,,,,,,,,,,
,60238581,05/21/2025 08:58,05/21/2025 13:00,GBPCAD,Buy,0.470,1.85777,0.00000,1.86604,1.86233,-2.2700,0.0000,-37.1,-127.83,-0.28,"",11,00:04:02:00,,,,,,,,,,,,
,60237534,05/21/2025 07:01,05/21/2025 13:00,GBPUSD,Buy,0.470,1.33515,0.00000,1.34319,1.34107,-2.2700,0.0000,-21.2,-101.91,-0.22,"",11,00:05:58:39,,,,,,,,,,,,
,60240285,05/21/2025 10:01,05/21/2025 10:15,EURHKD,Buy,0.470,8.86152,0.00000,8.86985,8.86127,-1.9200,0.0000,-85.8,-53.42,-0.12,"[sl]",11,00:00:14:22,,,,,,,,,,,,
,60237613,05/21/2025 07:15,05/21/2025 10:01,EURHKD,Buy,0.470,8.86923,0.00000,8.86911,8.86905,-1.9200,0.0000,-0.6,-2.28,0.00,"[sl]",11,00:02:45:40,,,,,,,,,,,,
,60237529,05/21/2025 07:01,05/21/2025 07:10,EURHKD,Buy,0.470,8.86549,0.00000,8.87434,8.86548,-1.9200,0.0000,-88.6,-55.11,-0.12,"[sl]",11,00:00:09:19,,,,,,,,,,,,
,60228134,05/20/2025 17:00,05/20/2025 21:00,GBPNZD,Buy,0.470,2.25308,0.00000,2.26149,2.26015,-2.2600,0.0000,-13.4,-39.54,-0.09,"",11,00:03:59:46,,,,,,,,,,,,
,60228074,05/20/2025 17:00,05/20/2025 21:00,GBPAUD,Buy,0.470,2.07882,0.00000,2.08681,2.08372,-2.2600,0.0000,-30.9,-95.51,-0.21,"",11,00:03:59:58,,,,,,,,,,,,
,60223712,05/20/2025 10:50,05/20/2025 13:00,GBPAUD,Buy,0.470,2.07715,0.00000,2.08530,2.08347,-2.2700,0.0000,-18.3,-57.47,-0.12,"",11,00:02:09:55,,,,,,,,,,,,
,60220507,05/20/2025 07:31,05/20/2025 13:00,GBPCAD,Buy,0.470,1.85801,0.00000,1.86628,1.86346,-2.2600,0.0000,-28.2,-97.36,-0.21,"",11,00:05:28:11,,,,,,,,,,,,
